"CAS_number";"infocard";"STP_PNEC";"URL_Log";"min_STP_PNEC_mg/L";"max_STP_PNEC_mg/L";"STP_PNEC_flag"
"100-00-5";"100.002.554";NA;NA;NA;NA;"Missing_PNEC"
"100-01-6";"100.002.555";"1 mg/L (1)";NA;1;1;"N/A"
"100-02-7";"100.002.556";NA;NA;NA;NA;"Missing_PNEC"
"100-06-1";"100.002.560";"4.03 mg/L (1)";NA;4.03;4.03;"N/A"
"100-07-2";"100.002.561";NA;NA;NA;NA;"Missing_PNEC"
"100-09-4";"100.002.562";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"100-10-7";"100.002.563";NA;NA;NA;NA;"Missing_PNEC"
"100-11-8";"100.002.564";NA;NA;NA;NA;"Missing_PNEC"
"100-15-2";"100.002.567";NA;NA;NA;NA;"Missing_PNEC"
"100-18-5";"100.002.570";"22 µg/L (1)";NA;0.022;0.022;"N/A"
"100-20-9";"100.002.572";"50 mg/L (1)";NA;50;50;"N/A"
"100-21-0";"100.002.573";"50 mg/L (2)";NA;50;50;"N/A"
"100-36-7";"100.002.586";NA;NA;NA;NA;"Missing_PNEC"
"100-37-8";"100.002.587";"10 mg/L (1)";NA;10;10;"N/A"
"100-39-0";"100.002.589";NA;NA;NA;NA;"Missing_PNEC"
"100-40-3";"100.002.590";NA;NA;NA;NA;"Missing_PNEC"
"100-41-4";"100.002.591";"9.6 mg/L (1)";NA;9.6;9.6;"N/A"
"100-42-5";"100.002.592";"5 mg/L (2)";NA;5;5;"N/A"
"100-43-6";"100.002.593";"900 µg/L (1)";NA;0.9;0.9;"N/A"
"100-44-7";"100.002.594";NA;NA;NA;NA;"Missing_PNEC"
"100-46-9";"100.002.595";"18.6 mg/L (1)";NA;18.6;18.6;"N/A"
"100-47-0";"100.002.596";NA;NA;NA;NA;"Missing_PNEC"
"100-48-1";"100.002.597";NA;NA;NA;NA;"Missing_PNEC"
"100-50-5";"100.002.599";NA;NA;NA;NA;"Missing_PNEC"
"100-51-6";"100.002.600";"39 mg/L (3)";NA;39;39;"N/A"
"100-52-7";"100.002.601";"7.59 mg/L (1)";NA;7.59;7.59;"N/A"
"100-54-9";"100.002.603";NA;NA;NA;NA;"Missing_PNEC"
"100-55-0";"100.002.604";NA;NA;NA;NA;"Missing_PNEC"
"100-58-3";"100.002.607";NA;NA;NA;NA;"Missing_PNEC"
"100-59-4";"100.002.608";NA;NA;NA;NA;"Missing_PNEC"
"100-60-7";"100.002.609";NA;NA;NA;NA;"Missing_PNEC"
"100-61-8";"100.002.610";"150 µg/L (2)";NA;0.15;0.15;"N/A"
"100-63-0";"100.002.612";NA;NA;NA;NA;"Missing_PNEC"
"100-64-1";"100.002.613";"65.6 mg/L (1)";NA;65.6;65.6;"N/A"
"100-66-3";"100.002.615";"30 mg/L (1)";NA;30;30;"N/A"
"100-68-5";"100.002.617";NA;NA;NA;NA;"Missing_PNEC"
"100-69-6";"100.002.618";"3.2 mg/L (1)";NA;3.2;3.2;"N/A"
"100-70-9";"100.002.619";NA;NA;NA;NA;"Missing_PNEC"
"100-71-0";"100.002.620";NA;NA;NA;NA;"Missing_PNEC"
"100-74-3";"100.002.623";"60 mg/L (1)";NA;60;60;"N/A"
"100-79-8";"100.002.626";"10 mg/L (1)";NA;10;10;"N/A"
"100-83-4";"100.002.630";NA;NA;NA;NA;"Missing_PNEC"
"100-85-6";"100.002.632";"3.2 mg/L (1)";NA;3.2;3.2;"N/A"
"100-86-7";"100.002.633";"7.09 mg/L (1)";NA;7.09;7.09;"N/A"
"100-88-9";"100.002.635";NA;NA;NA;NA;"Missing_PNEC"
"100-93-6";"100.002.639";NA;NA;NA;NA;"Missing_PNEC"
"100-94-7";"100.002.640";NA;NA;NA;NA;"Missing_PNEC"
"100-97-0";"100.002.642";"100 mg/L (1)";NA;100;100;"N/A"
"100-99-2";"100.002.643";NA;NA;NA;NA;"Missing_PNEC"
