"Facility_category";"facility_name";"product_name";"product_number";"Max_in_stock_amount_full";"Max_in_stock_unit_full";"Consumption_L_per_yr_full";"Consumption_Kg_per_yr_full";"CAS_number";"min_conc_frac";"max_conc_frac"
"Category_01";"Facility_01";"Ekoflock Swed Handling AB";1;NA;"";NA;712.8;"1327-41-9";0.18;0.43
"Category_01";"Facility_02";"Heavy duty TFR";2;NA;"";NA;442;"68439-46-3";0.01;0.1
"Category_01";"Facility_02";"Heavy duty TFR";2;NA;"";NA;442;"164462-16-2";0.1;0.3
"Category_01";"Facility_02";"Heavy duty TFR";2;NA;"";NA;442;"2634-33-5";0.001;0.001
"Category_01";"Facility_02";"Heavy duty TFR";2;NA;"";NA;442;"1310-73-2";0.001;0.001
"Category_01";"Facility_02";"Heavy duty TFR";2;NA;"";NA;442;"68439-45-2";0;0.05
"Category_01";"Facility_02";"Heavy duty TFR";2;NA;"";NA;442;"34590-94-8";0;0.05
"Category_01";"Facility_02";"insekt remover";3;NA;"";NA;107;"6834-92-0";0;0.05
"Category_01";"Facility_02";"insekt remover";3;NA;"";NA;107;"1310-73-2";0;0.05
"Category_01";"Facility_02";"insekt remover";3;NA;"";NA;107;"164462-16-2";0.01;0.1
"Category_01";"Facility_02";"insekt remover";3;NA;"";NA;107;"68439-46-3";0.01;0.1
"Category_01";"Facility_02";"insekt remover";3;NA;"";NA;107;"931-296-8";0.01;0.1
"Category_01";"Facility_02";"insekt remover";3;NA;"";NA;107;"13463-41-7";0.001;0.001
"Category_01";"Facility_02";"insekt remover";3;NA;"";NA;107;"2682-20-4";0.001;0.001
"Category_01";"Facility_02";"insekt remover";3;NA;"";NA;107;"2634-33-5";0.001;0.001
"Category_01";"Facility_02";"insekt remover";3;NA;"";NA;107;"1310-73-2";0;0.05
"Category_02";"Facility_03";"Altech 10";4;NA;"";200;NA;"107-21-1";0.9;1
"Category_02";"Facility_04";"mac 10";5;75;"l";300;NA;"1310-58-3";0.1;0.2
"Category_02";"Facility_04";"mac 10";5;75;"l";300;NA;"13845-36-8";0.01;0.05
"Category_03";"Facility_05";"SALPETERSYRA 53% / BULK";6;NA;"";NA;11000;"7697-37-2";0.5;0.6
"Category_03";"Facility_05";"Food Grade PDV Salt Standard";7;NA;"";NA;228000;"7647-14-5";0.995;0.995
"Category_03";"Facility_05";"Food Grade PDV Salt Standard";7;NA;"";NA;228000;"7647-14-5";0.995;0.995
